"","PROTID","NN1","NN1","NN1","NN2","NN2","NN2","NN3","NN3","NN3","NO1","NO1","NO1","NO2","NO2","NO2","NO3","NO3","NO3","ON1","ON1","ON1","ON2","ON2","ON3","ON3","ON3","OO1","OO1","OO1","OO2","OO2","OO2","OO3","OO3","OO3"
"810","m.15067",11.4129,0,0,10.3258,0,9.6231,0,0,0,10.6209,0,0,0,0,0,0,0,0,21.2004,0,23.8113,9.1168,10.2977,0,0,0,34.7902,0,26.0882,0,0,23.8578,0,0,24.8809
"811","m.15073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6742,0,0,0,0,0,0,0,0,0,0
"812","m.15074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5587,0,0,0,0,0,0
"813","m.15079",86.4309,118.6806,90.6803,78.198,79.7528,66.2514,47.0327,48.3169,79.1816,95.0574,108.4437,117.8107,92.2522,87.902,92.3997,121.3474,130.819,138.0527,131.3608,105.3736,122.9486,94.148,113.4336,57.3799,62.79,41.8741,127.7424,155.0679,143.6858,144.953,145.2831,123.1888,152.1508,134.2503,137.0364
"814","m.15083",0,0,0,0,0,0,0,0,0,0,0,0,0,6.5844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"815","m.1509",0,19.7674,0,0,0,0,0,0,0,34.1013,0,0,0,0,0,23.5802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1504,19.7106,29.3484,19.9717
"816","m.15090",1.3897,2.9987,0,1.2574,0,1.1718,0,0,0,1.2933,1.1283,0,2.7195,0,0,1.1924,1.1569,1.1627,1.2908,1.4337,1.4497,1.1101,0,1.6915,0,1.8516,1.4121,1.4435,0,0,1.5115,0,0,1.4841,1.5149
"817","m.15096",8.7304,9.4191,0,27.6458,20.1396,14.7225,11.1983,7.6693,3.6658,28.436,7.0878,6.8895,25.6256,18.7825,7.3333,18.7265,10.9016,3.6522,12.163,22.5157,22.7683,24.4088,31.5093,47.8166,46.5111,40.711,22.1775,13.6025,29.9345,14.2111,23.7391,13.6876,9.392,18.6459,14.2746
"818","m.15098",5.5514,0,0,5.0226,5.1225,0,4.7471,0,0,15.4985,13.5208,4.3808,5.4315,9.5546,0,9.5261,4.6213,0,15.4682,5.7268,11.5821,4.4345,5.009,0,0,0,16.9224,11.5325,19.0345,6.0243,6.038,17.4071,11.9442,11.8563,12.1024
"819","m.151",20.3275,10.9655,19.5496,27.5868,37.5137,8.5698,17.3824,8.9285,8.5353,28.3753,16.503,16.0413,29.8328,17.4929,17.0746,8.7204,16.9219,17.0072,28.3199,10.4849,21.2051,8.1189,27.5119,24.7409,27.0736,13.5414,20.6549,21.1143,23.2328,11.0295,33.1638,21.2465,21.868,21.7071,22.1576
"820","m.15101",0,0,0,0,0,0,0,0,0,28.3753,0,0,14.9164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"821","m.15111",168.6808,173.8989,133.3859,98.3508,152.1888,116.9429,86.5452,79.0294,97.5846,132.5571,161.2902,156.7776,132.0307,112.9017,97.607,115.781,131.0591,131.72,111.4089,135.3423,129.0396,104.8009,114.9946,123.1825,114.827,124.854,121.8827,132.3805,107.1053,117.965,130.4647,109.7021,100.8135,132.0949,98.0628
"822","m.15114",0,5.9731,0,20.036,25.5429,14.0044,4.7342,14.5905,4.6493,36.0651,8.9894,4.369,27.084,0,0,0,0,0,5.1421,11.4226,11.5507,26.5349,29.9723,0,14.7474,7.3762,16.8765,5.7506,12.6553,6.0079,0,0,0,11.8242,0
"823","m.15118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.166,42.5752,21.5264,82.4192,111.7149,0,0,27.4931,20.9678,42.8683,23.5848,44.7864,22.4442,43.1368,44.3987,44.0721,44.9867
"824","m.15120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"825","m.15121",0,11.3612,0,0,0,0,0,0,0,9.7997,0,0,10.3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"826","m.15122",17.3128,18.6785,24.9755,15.6637,7.9876,0,14.8045,0,7.2695,24.1671,0,0,8.4695,0,0,14.8542,7.2061,0,16.0799,0,18.0602,6.9148,0,31.6076,0,11.5331,0,8.9915,0,28.1813,0,9.0478,0,0,18.8715
"827","m.15126",46.4298,0,22.3266,63.0108,0,9.7871,39.703,0,9.7477,32.4059,0,27.4798,11.3568,29.9666,58.4998,19.9181,38.6511,29.1345,32.3426,0,12.1086,27.8165,0,14.1276,0,0,0,0,26.5329,12.5962,0,0,0,12.3953,0
"828","m.15127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"829","m.15132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6064,0,0,0,0,0,0,0,0,0,3.2073,0,0,0,0,0,0
"830","m.15134",3.3907,1.8291,1.6305,1.5339,1.5644,1.4295,1.4497,1.4893,0,3.1554,1.3764,2.6758,1.6588,1.459,1.4241,2.9092,1.4113,1.4184,4.7239,1.7489,1.7686,1.3543,1.5297,2.0635,2.258,0,0,1.761,1.9377,1.8398,1.844,1.772,0,1.8104,0
"831","m.15139",206.6394,258.4079,338.7481,263.4383,260.009,415.785,248.9877,222.7813,264.2419,227.2637,289.7698,311.3111,229.747,303.1105,331.3643,237.7356,320.5818,381.1374,196.2862,237.3935,220.4595,183.8232,186.4483,308.6641,431.591,362.9091,186.1075,200.0029,161.0272,163.0843,158.3477,171.8035,166.7246,165.4982,143.3369
"832","m.15141",80.9965,116.5146,95.2076,81.4237,74.7383,136.5889,61.5658,94.8701,83.1348,83.751,146.1278,106.5295,79.2475,139.4041,151.1889,61.7725,82.4102,105.4147,66.8699,102.1242,112.6577,179.7246,97.4429,109.5357,83.9044,71.9423,118.8792,130.8712,102.8588,146.493,127.2497,103.4713,135.5431,115.3251,127.5284
"833","m.15142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7728,8.5527,0,0,0,0,0,0
"834","m.15155",0,0,0,0,0,0,0,0,0,0,0,0,2.2433,0,0,0,0,0,0,2.3653,0,0,2.0688,0,3.0538,0,0,0,2.6205,0,0,0,0,0,0
"835","m.15158",47.3261,76.5892,75.8586,21.4091,21.8347,26.6029,20.2347,20.7872,26.4958,36.7017,38.422,37.347,23.1521,20.3634,33.1273,13.5351,32.831,32.9966,21.978,8.137,8.2282,0,7.117,0,0,0,8.0147,8.193,9.015,8.5596,8.5791,16.4886,8.4855,8.423,8.5978
"836","m.15162",403.2063,261.008,594.592,790.3988,310.0436,974.5937,770.0283,920.9269,801.3661,262.6586,731.0717,636.3737,341.8998,705.5295,677.366,714.9563,738.439,775.8979,411.9428,291.164,294.4295,526.0728,230.412,294.4493,340.1124,286.5072,327.7601,307.129,184.3338,247.9459,292.3653,252.8612,289.1755,258.3435,219.7541
"837","m.15166",6.6871,3.6073,3.2156,9.0752,9.2556,11.2768,2.8591,2.9372,0,0,0,0,19.6281,5.7546,8.4255,8.6062,8.3502,8.3923,3.1055,3.4492,3.4879,5.3417,6.0337,12.2085,0,0,6.7948,6.9459,15.2857,3.6284,7.2732,10.4842,7.1939,3.5705,7.2892
"838","m.15170",0,0,0,0,0,0,2.4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.578,0,0,0,2.9032,0,6.5312,3.1006,3.1077,0,0,0,0
"839","m.15172",17.6113,0,16.9374,63.7351,48.7517,29.6989,15.0597,15.4709,0,16.3892,0,13.8978,51.6931,0,29.5861,30.2206,0,0,32.7144,36.3357,18.3716,56.2724,47.6714,0,23.456,0,35.7899,54.8789,40.2568,57.3343,38.3099,55.2226,37.892,37.6132,57.5907
"840","m.15175",30.7205,33.1439,73.8624,20.8457,28.3468,38.8542,52.5392,47.227,51.597,50.0302,56.1164,54.5463,52.6,59.4826,45.1577,32.9473,51.1473,83.5335,35.666,55.4598,56.0818,42.9447,41.5781,56.0856,61.3737,61.3944,23.4114,23.9321,61.4446,41.6716,33.4132,40.1367,24.7865,41.0069,33.4863
"841","m.15185",28.217,24.3543,37.9922,76.5877,52.0736,52.3423,33.7804,34.7027,42.6531,42.0143,36.6531,57.8948,77.3016,33.9953,47.4031,29.0519,61.073,51.9378,57.6568,58.2175,58.8704,45.0801,71.2877,34.3434,75.163,67.6695,45.8743,46.8946,45.1499,42.8688,36.8283,47.1883,36.4265,42.185,43.0605
"842","m.15189",0,14.9937,0,25.1472,12.8236,0,0,0,0,25.866,0,0,40.7918,23.9189,0,0,0,0,0,14.3365,14.4973,0,12.5394,0,0,0,0,0,15.8836,0,15.1155,14.5257,0,14.8406,0
"843","m.152",284.2312,191.6581,205.0162,321.4464,180.3106,314.5504,167.0976,171.66,164.1009,49.5952,14.4222,56.0747,330.2363,397.4701,402.8855,259.109,251.4,237.8051,115.4959,91.6293,111.1883,198.666,112.2006,151.3498,165.62,213.0119,180.5056,221.4242,121.8206,134.9434,173.8938,204.2434,171.9966,170.7314,154.9107
"844","m.15200",5.1851,5.5941,0,4.6912,0,0,0,0,0,9.6505,2.1048,0,5.0731,0,0,0,0,0,4.8158,0,0,14.4966,7.0176,0,0,0,0,8.0786,11.8523,5.6267,5.6395,2.7097,5.578,8.3055,5.6519
"845","m.15204",25.2211,57.8228,18.192,108.389,130.9073,90.3801,56.6135,69.2371,79.426,85.0822,87.0227,79.6122,89.4524,67.8256,76.796,59.5085,70.8603,79.1308,55.6346,113.8295,108.5287,55.404,133.6958,80.5797,104.973,92.4074,80.0854,72.0426,90.0808,71.8449,61.7216,75.789,74.6144,67.3323,75.6027
"846","m.15205",10.3177,0,19.8458,18.6699,19.0411,8.6997,8.8229,0,0,9.6018,8.3765,24.4265,10.0949,0,0,0,0,0,19.166,0,0,8.2419,0,0,0,0,0,0,11.7924,0,0,0,0,0,11.2467
"847","m.15208",0,0,0,0,0,0,0,0,0,0,0,0,0,2.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3923,0,0,0,0
"848","m.15213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"849","m.1522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850","m.15220",4.0215,0,0,7.2768,22.2646,6.7816,0,0,0,22.4545,0,0,23.6079,3.4607,3.3779,10.3512,0,0,3.7351,4.1486,0,6.4248,14.5141,4.8946,0,0,16.345,16.7085,18.385,21.8202,21.8698,29.423,25.9575,4.2944,13.1506
"851","m.15229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"852","m.15240",11.8087,6.3701,11.3569,5.342,0,9.9569,0,0,0,0,0,0,5.7769,10.1621,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1329,0,0,0,12.3426,0,0,0
"853","m.15241",31.2372,26.9611,18.0251,22.6094,14.4118,10.5354,16.0269,10.9763,13.1162,26.1626,25.3601,12.3253,21.3939,21.5051,13.1192,13.4006,10.4015,10.454,5.8025,12.8897,13.0343,19.9621,19.7295,26.6135,24.9624,24.9708,15.8701,19.4677,17.8509,23.7286,20.3851,22.8546,16.8022,20.0144,17.0248
"854","m.15244",4.2472,4.5823,4.0847,0,0,0,7.2637,0,0,3.9525,0,0,0,0,0,0,0,3.5535,0,0,8.8612,0,0,0,0,0,0,0,4.8543,4.609,0,0,4.5691,4.5355,0
"855","m.15247",7.0689,15.2531,6.7984,6.3956,13.0454,5.9603,12.0895,6.2098,5.9363,19.7351,0,0,20.7488,6.0832,5.9377,12.1301,0,0,6.5655,14.5846,14.7482,11.2934,19.1346,8.6037,9.4149,0,21.5482,22.0275,16.1584,30.6841,23.0655,22.1655,30.4185,22.646,23.116
"856","m.15257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"857","m.15259",0,0,0,0,0,0,0,5.4882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1404,6.7796,0,0,0,0,0
"858","m.15266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"859","m.1527",34.1624,51.6002,45.9972,49.4533,69.3502,34.566,29.2129,36.0126,28.689,76.3003,38.8289,86.2687,60.1645,41.1581,45.9129,52.7597,45.5023,68.5976,50.7674,84.5808,85.5295,38.205,55.4838,83.1592,91,72.8246,48.5977,56.7754,85.8991,59.3158,52.0195,57.131,66.1525,58.3697,74.4763
"860","m.15279",0,0,2.9412,0,2.822,2.5786,2.6152,2.6866,5.1365,2.846,2.4829,2.4134,2.9922,0,0,5.2479,0,0,0,0,0,0,0,0,0,0,0,3.1766,6.9907,0,3.3263,3.1965,3.29,0,0
"861","m.15280",39.8617,64.5093,47.9205,18.0324,27.5863,16.8052,0,0,8.3688,46.3695,48.5429,15.7283,19.5005,8.5758,16.7414,17.1004,8.2958,8.3377,0,10.2804,20.7913,15.921,17.9834,0,0,0,10.1259,10.3511,22.7795,21.6286,0,10.416,21.4413,10.6418,10.8626
"862","m.15281",29.5218,38.2208,22.7137,32.0517,32.689,34.849,10.0979,10.3736,0,38.4625,14.3805,9.3188,23.1075,35.5673,9.919,10.1318,4.9152,9.8799,0,30.4548,30.7964,0,0,28.7452,78.6387,70.7987,17.9984,6.1329,26.993,6.4073,19.2657,6.1713,19.0555,18.9153,12.8719
"863","m.15285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864","m.15288",0,0,0,0,0,0,0,0,0,0,0,6.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"865","m.15290",2.1303,9.1932,0,5.782,0,1.7962,9.1081,5.6141,3.5779,3.9649,0,0,6.2528,1.8332,0,3.6555,1.7734,0,5.9357,8.7903,6.6667,5.105,11.5326,2.5928,8.5117,8.5146,2.1646,8.8508,7.3042,0,0,2.2266,2.2917,4.5497,2.322
"866","m.153",5.1329,5.5379,4.9365,4.644,9.4727,12.984,4.3893,4.5091,8.6211,4.7768,4.1672,0,15.0663,8.8344,8.6231,4.404,12.819,8.5891,4.7674,5.2952,5.3545,4.1002,9.2628,6.2474,6.8364,13.6775,10.4312,5.3316,11.7331,11.1403,5.5829,16.095,16.5658,10.9627,11.1902
"867","m.1530",0,28.185,5.0249,85.0888,67.4959,74.8929,8.9357,13.7695,8.7755,19.4491,16.9673,16.4925,66.4562,76.4366,70.2197,49.3114,26.0969,26.2285,111.6137,107.7991,125.3594,154.4253,66.0004,114.4662,83.5059,83.5341,111.4887,108.5413,77.6308,119.0677,119.3389,120.1432,129.2785,111.5891,119.6002
"868","m.15303",0,4.9979,0,0,0,0,3.9613,4.0694,3.8903,0,3.7609,3.6557,0,0,0,0,3.8563,3.8758,4.3026,0,4.8324,0,4.1798,0,0,0,0,4.8118,0,5.027,0,4.8419,4.9835,0,5.0495
"869","m.15306",0,0,0,0,3.7181,0,0,0,0,11.2494,0,0,0,0,0,0,0,0,0,0,4.2034,0,3.6357,0,5.3667,0,4.0943,0,13.8159,4.3726,4.3826,0,8.6696,0,4.3922
"870","m.15314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"871","m.15316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8933,0,0,0,0,0,0,0,0
"872","m.15323",73.6788,86.7174,57.9759,60.6006,67.986,67.772,40.0935,41.1882,56.2492,62.3327,70.6923,47.5715,58.9809,51.8766,61.8883,63.2156,50.183,44.8321,55.9898,62.1877,69.8724,69.5564,72.5231,57.0663,98.1308,98.1639,74.8654,69.5732,61.2431,72.6862,72.8517,77.0098,72.0568,64.3741,80.3123
"873","m.15325",0,0,0,0,0,0,0.3618,0.3717,0.3553,0.7876,0.6871,0,0,0,0,0,0,0,0.786,0,0,0.676,0,0,0,0,0,0,0,0.4592,0,0.4423,0,0,0
"874","m.15331",117.2964,126.5493,47.0033,168.0288,126.2723,173.0779,192.2459,154.5612,147.7551,109.1568,174.5843,231.4086,105.1999,176.6452,180.6309,92.2524,170.8784,171.7402,54.4718,90.7524,112.1636,226.4358,114.6548,83.2786,65.0933,39.0692,99.3212,101.5303,55.8587,63.6439,74.4203,91.9495,63.0928,83.505,53.2737
"875","m.15335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"876","m.15342",6.1719,6.6588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.223,0,0,0,0,0,0,0,0,0
"877","m.15345",0,20.2208,0,16.957,17.2942,0,0,32.9289,0,17.4417,15.2161,0,18.3376,0,0,16.0807,0,0,0,19.3346,19.5515,14.9716,16.911,0,0,0,19.0442,19.4677,21.4211,0,20.3851,19.5897,20.1627,20.0144,0
"878","m.1536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"879","m.15365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"880","m.15370",397.2329,379.5894,513.0151,256.7107,282.7598,200.9627,116.462,89.7313,85.78,221.8006,267.2109,331.3857,177.671,126.9696,152.5328,87.6398,170.0647,170.9224,105.413,105.3736,118.3949,90.6611,122.8864,138.1367,166.2772,166.3333,299.8398,271.1422,285.376,320.2229,296.2635,225.3899,244.1926,290.8757,247.4269
"881","m.15377",136.1941,87.3684,145.1429,76.5969,57.7407,77.5918,72.3953,87.3062,71.097,68.5098,77.6979,78.4288,72.0288,76.0234,64.9295,85.2712,67.413,64.6734,61.5384,94.9312,88.3162,91.1511,66.4251,103.0425,98.0504,98.0835,89.7649,87.938,84.1404,99.8616,92.0819,96.1834,79.1976,98.2688,88.2712
"882","m.15383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883","m.15388",0,0,0,0,0,0,10.1271,5.2018,4.9728,5.5106,4.8074,0,0,0,4.9739,0,0,0,0,6.1086,6.1771,4.7301,0,0,0,0,0,0,13.5356,0,6.4405,0,6.3702,0,0
"884","m.15390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3509,0,0,0,0,0,0,0,0,0,0,0,0,0
"885","m.15396",6.2095,0,0,5.618,0,0,10.6196,0,5.2146,5.7786,0,0,18.2261,16.0308,5.2158,5.3276,0,0,5.7673,6.4057,0,14.8805,5.6027,15.1153,8.2702,16.546,0,0,0,0,0,0,0,0,0
"886","m.15400",23.8102,30.8261,13.7394,51.7012,43.9409,16.061,24.4326,25.0997,27.9935,26.5895,11.5983,15.0317,37.2736,20.49,15.9999,28.6004,23.7853,27.8894,22.1146,14.7376,29.8057,15.2158,21.4836,11.5919,12.6848,6.3446,24.1936,24.7317,32.6559,31.006,15.5383,9.9546,20.4917,5.0852,31.1446
"887","m.15401",0,0,0,0,0,0,0,8.9731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6091,0,0,0,0,0,0,0,0,0
"888","m.15409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6909,0,0,0,0,0,5.2984,0,0,0,0,6.7397,13.7791,7.5808,0,0,6.9327,14.271,0,0
"889","m.15418",0,0,0,0,0,0,0,0,0,10.5036,0,8.9069,0,0,0,19.3679,9.3958,9.4432,10.4831,0,0,27.0481,30.5519,0,0,0,22.9372,23.4473,77.3998,12.2482,12.2761,11.7971,36.4265,12.0529,12.303
"890","m.15419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7464,0,0,0,0,0,0,0,0,0,0,0,0
"891","m.15422",0,0,0,4.0533,0,3.7775,0,0,0,0,0,0,0,0,0,3.8439,0,0,0,0,0,3.5787,0,0,0,0,0,0,10.2408,0,0,0,0,0,0
"892","m.15426",1.8355,0,0,1.6607,0,4.643,4.7087,3.2248,1.5414,6.8325,0,0,3.5917,1.5796,3.0835,3.1497,3.056,3.0714,8.524,3.787,5.7442,4.3987,8.2808,2.234,0,2.4455,5.5952,5.7196,12.587,5.9755,7.9855,7.6739,9.873,5.8802,6.0023
"893","m.15432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"894","m.15449",4.8069,15.5581,0,4.349,4.4354,4.053,8.2208,0,4.0367,4.4733,7.8049,0,9.4061,4.1366,0,0,4.0015,4.0217,8.9291,14.8763,20.0575,11.5193,8.6743,5.8505,0,0,4.8843,9.9858,0,5.2163,10.4564,10.0483,10.3423,10.2662,10.4793
"895","m.15457",0,4.5073,0,11.3394,3.8549,7.0451,3.5725,7.34,3.5084,23.327,6.7834,0,28.6127,0,0,7.1689,0,0,0,0,4.3581,6.6744,15.0781,0,0,0,0,4.3394,9.5497,4.5336,4.5439,4.3666,8.9887,0,4.5539
"896","m.1546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9452,0,0,0,0,0,0,0,0,0,0,0,0
"897","m.15462",11.0428,11.9139,0,0,20.3791,27.933,0,0,9.2735,10.2765,17.9303,8.7143,0,9.5029,18.5513,9.4746,0,9.2391,0,11.3917,23.039,8.8211,19.9275,13.4403,0,0,44.8825,34.4105,50.4842,23.9668,24.0214,23.084,23.7593,35.3768,36.1109
"898","m.15463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"899","m.15465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"900","m.1547",148.1905,102.7804,142.5199,114.9213,107.439,124.9509,63.3602,83.6873,53.3347,78.8041,60.1547,50.1186,93.2082,127.5263,124.4762,99.9003,88.1164,97.4169,98.3126,131.0346,88.3361,42.2772,47.7538,141.7154,84.5876,112.8215,107.5551,131.9367,108.8811,103.3801,92.1026,110.6359,113.8722,113.0346,115.3804
"901","m.15471",4.0136,21.651,3.86,18.1564,11.1104,3.3842,10.2962,24.6805,20.2232,29.8805,9.7753,3.1673,15.7077,3.4539,3.3713,17.218,13.3646,16.79,18.6388,20.7021,29.308,38.4731,28.9712,14.655,21.3823,16.0422,24.4693,25.0135,22.9361,26.1327,26.1923,20.9752,25.9065,25.7159,26.2496
"902","m.15477",4.8296,5.2106,4.6448,0,0,0,0,0,0,8.9889,3.9209,3.8112,0,0,0,0,0,0,4.4857,4.9822,0,0,0,0,0,0,4.9074,5.0165,5.5198,5.241,5.2529,5.0479,5.1956,0,0
"903","m.15484",0,12.7403,0,10.6839,0,9.9569,10.0979,20.7471,9.9168,10.9893,9.587,9.3188,11.5537,0,0,10.1318,9.8303,9.8799,0,0,0,0,10.6549,14.3726,0,0,23.9978,0,13.4965,25.6292,25.6876,12.3426,12.7037,12.6102,12.8719
"904","m.15491",0,0,0,0,0,0,0,5.4714,0,0,0,0,0,0,0,5.3439,0,0,0,0,0,9.9506,5.6198,7.5807,0,0,0,0,0,0,0,0,0,0,0
"905","m.15507",0,0,0,0,10.8963,0,0,10.3736,19.8335,0,0,0,23.1075,10.1621,9.919,0,9.8303,0,10.9678,0,12.3185,0,0,0,15.7277,15.7331,0,0,0,0,0,0,0,12.6102,0
"906","m.15512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"907","m.15515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"908","m.15526",13.4402,7.2502,0,12.16,18.6026,5.6662,11.493,11.8068,16.9303,31.2689,10.9115,0,19.725,11.5661,5.6447,11.5316,5.5942,0,6.2416,34.6624,28.0409,26.8405,42.4443,16.3583,26.851,26.86,20.485,13.9604,23.0417,29.1701,21.9274,21.0718,28.9176,14.3524,14.6503
"909","m.15530",26.4626,22.8401,0,14.3652,0,4.4625,27.1544,23.2465,31.1119,9.8505,12.8903,12.5296,5.1782,9.109,17.7823,9.0818,13.2175,4.428,29.4938,16.3793,22.084,4.2277,0,6.4416,7.049,0,10.7555,21.9895,18.1469,17.23,11.5128,11.0636,11.3872,22.6069,11.538
"910","m.15544",171.341,71.099,101.4059,59.6231,24.3234,11.1131,22.541,57.8912,11.0684,49.0619,21.4007,20.8019,38.6864,0,0,11.3084,10.9719,22.0545,24.483,67.983,54.9964,52.6419,47.5689,32.0834,105.3251,70.2405,66.9617,82.1412,45.1915,85.8166,57.3413,68.8798,56.7157,84.4478,43.1002
"911","m.15555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912","m.15571",0,0,0,7.7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.906,8.7811,0,0,0,0,0,0,0,8.8416,9.7287,0,0,8.897,9.1572,9.0899,0
"913","m.15573",24.0343,38.8953,23.1146,32.6174,77.6203,20.2651,20.5521,10.5566,10.0918,55.9161,0,9.4832,35.2729,10.3414,10.0941,20.6211,0,0,22.3227,49.5876,37.6078,0,0,43.8787,96.0317,80.0535,36.632,24.9645,13.7347,13.0408,13.0704,50.2417,12.9278,25.6655,13.0991
"914","m.15579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0301,0,0,0,0,0,8.7958,0,0,0,0,0,0,0,0
"915","m.15586",96.574,88.1627,107.1676,100.8173,109.6765,87.6928,69.8772,58.7332,87.3397,69.1327,96.4975,82.0729,109.0254,89.5003,87.3597,70.1118,74.2101,80.7997,89.6969,91.9624,92.9938,65.276,80.4347,126.5835,148.4127,138.5653,90.581,92.5956,118.8674,104.8002,105.0389,100.9401,111.8846,103.1286,89.0737
"916","m.1560",7.4559,4.022,10.7559,3.3728,10.3197,12.5733,6.3757,16.3743,6.2613,6.9385,9.0797,2.9419,25.5321,22.4567,21.9196,6.3971,3.1034,6.238,6.9249,30.766,27.2222,5.9558,33.6368,9.0747,24.8257,19.8673,7.576,19.3612,21.3038,8.091,16.2188,7.793,12.0314,7.9619,12.1907
"917","m.15615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918","m.15618",0,0,0,0,2.7927,0,0,0,0,2.8165,0,0,2.9612,0,0,0,2.5195,0,0,0,3.1572,0,2.7308,0,4.031,0,0,0,0,0,0,0,3.2559,0,3.299
"919","m.15624",15.9602,17.2193,15.3495,0,0,0,0,0,0,14.8527,0,0,0,0,13.4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920","m.15629",0,0,0,0,0,0,4.8934,0,4.8056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
